User,Username,User Description,Followers Count,Friends Count,Time,Tweet,Location,Retweeted Tweet,Retweet Count,Fav Count
KelleyAnne,AlwaystrumpOrg,homemade cookies and handmade signs,1591,4364,Mon Dec 12 02:53:21 +0000 2016,RT @Stevenwhirsch99: Heres a list of the governments that tried to influence our election (donated to the Clinton foundation). None of thes,"Manassas, Virginia",Yes,138,0
hk..i,longshipdriver,International industrial executive. Strategic growth of businesses based on technologies + innovation. For a fair workplace. Opinions are my own,1165,2605,Mon Dec 12 02:53:21 +0000 2016,"RT @Jodzio: Putin must have 'smoking gun"" that can ruin Trump. Probably sex related. But worse than anything that has been exposed so far.",USA,Yes,4,0
Puff,pufftrishy,"self-proclaimed fishing expert, elephant lover, best Aunt in the world, and proud Dem",347,594,Mon Dec 12 02:53:21 +0000 2016,RT @aravosis: Kellyanne Conway says Trump is going to put his own people in the intelligence community https://t.co/3wew3gUmr7,,Yes,183,0
jeannine,LozierJeannine,,82,568,Mon Dec 12 02:53:20 +0000 2016,"RT @AriMelber: Trump previously criticized Obama for missing intel briefings - inaccurate at the time, hypocritical now: https://t.co/301NA",,Yes,1194,0
Trump Ain't Normal,sherrilee7,The most qualified person for the job of POTUS was abused for 30 years by RW & media. Heartbroken  My country hates women.,10462,11441,Mon Dec 12 02:53:20 +0000 2016,"RT @funder: #TRUMPLEAKS:Memo:Ivanka Trump's Iranian shipments-all made while sanctions in place on Iran

#GrabYourWallet #amjoy #msnbc #mon",USA,Yes,159,0
Blue Streak Advances,BSAFunds,"Get approved for a Merchant Cash Advance in 2 hours. Even if you have bad credit, or have been denied by 
your bank. Apply Today!  #BSAFunds",22326,193,Mon Dec 12 02:53:20 +0000 2016,"Trump is inspiring investors to abandon the post-financial-crisis search for yield and cycling into big bets: https://t.co/Pghv5mpIHD

 M",United States,No,0,0
Chris Thompson,CJThompson87,"6th gen.west texan, husband and dad to two beautiful girls #USMC(2004-2016) #God  #1A #2A #HamiltonElectors #NotMyGOP",1100,927,Mon Dec 12 02:53:20 +0000 2016,RT @marklevinshow: More Goldman Sachs appointments; I thought Trump hated Goldman Sachs https://t.co/d93fhyI6cG,Republic Of Texas,Yes,191,0
Carolina Brenna,carolina_brenna,Part-Time Administrative Assistant @ Saint Mary's Center,1154,2367,Mon Dec 12 02:53:20 +0000 2016,RT @CDoranHarader: Muslim extremist who lied about hate crime goes into hiding to avoid being arrested for hoax... https://t.co/dH4eItOt4B,"Berlin,NJ",Yes,76,0
Incrementable,incrementable,Just another George to whom to tweet.,2416,1002,Mon Dec 12 02:53:20 +0000 2016,"RT @markmobility: While Trump promises to bring jobs home, he quietly hires 64 foreign workers at Mar-a-Lago https://t.co/2IpSahqgBW https:",,Yes,1062,0
NotMyPresidentMacMcD,macmcd,Retired at doing as little as pos. BAs in Psych and Phil. MA in Depth Psych. My husb of 44 yrs & I are convinced HRC most qualified nom in our lifetimes.,1112,1538,Mon Dec 12 02:53:20 +0000 2016,"RT @DailyNewsBin: Rigged election: months ago, Steve Bannon ""knew"" precisely which states Donald Trump would flip https://t.co/LCAfgvCGeY","Mineral Wells, TX",Yes,10,0
Jingle Jangle Jessie,charmingred,"Yes, even mothers read, and have opinions, about comics. Avi: Fanboys vs Zombies #20",6964,932,Mon Dec 12 02:53:20 +0000 2016,RT @EW: Do NOT tweet Donald Trump right now telling him that Alec Baldwin just won a #CriticsChoice award for his #SNL portrayal of him. ,USA,Yes,138,0
Blue Warrior,YvetteKopp,,221,135,Mon Dec 12 02:53:20 +0000 2016,@moderatemama have you watched this video from Russia after Trump won? https://t.co/tdxv2h3NNk,,No,0,0
ALI NUR,ANUR01,,262,380,Mon Dec 12 02:53:20 +0000 2016,https://t.co/dfqiISXKdO,"TORONTO, CANADA",No,0,0
Robert Alvarez,RobertA87413263,Husband /Father/Grandfather/ Business Owner/President Atwater Falcons Youth Football / Coach/ / Proud American Conservative/ Donald Trump for President,4120,5000,Mon Dec 12 02:53:20 +0000 2016,RT @realjunsonchan: Brave man Joe Scarborough risks his own life to tell truth against feral idiot fake news media. #Trump #maga #underdoge,"Merced, CA",Yes,16,0
CR710349,CR710349,,57,123,Mon Dec 12 02:53:20 +0000 2016,RT @France4Hillary: BREAKING: #Hillary's popular vote lead over Trump is now close to 3 million votes! #HillaryWon - SHE'S THE PEOPLE'S CHO,,Yes,1101,0
luis muoz,totoqro,"soy una persona a quien le gusta estar informado, y compartir noticias(interesantes,ciencia cultura,deportes,arte,politica,etc.) de todo elmundo",517,2245,Mon Dec 12 02:53:20 +0000 2016,https://t.co/CFnUzHd18M,queretaro,No,0,0
nasty girl_III,Girl__III,"I'm here to laugh people! Dallas Cowboys, Politics, Justice, ProChoice, I VOTE. Most politicians suck! I follow funny, oh and I tend to cuss (sorry #Prince)!",1038,1131,Mon Dec 12 02:53:20 +0000 2016,"RT @TimOBrien: We're now in the era of a PEOTUS who dismisses facts, routinely lies, and creates false realities for supporters: https://t.",Texas,Yes,545,0
lindsnow,ribcagestyles,"without wrestling, im just living.",3211,2182,Mon Dec 12 02:53:20 +0000 2016,"RT @glennspizza: ""maggie for president"" trump is shook",SLFL 7.18.16,Yes,28,0
Dina Jones,DinaJon60818043,"Old values, independent thoughts,  Organic Garden,Animals, Lover of Truth & Democracy. Research & Investigate",1418,1481,Mon Dec 12 02:53:20 +0000 2016,"RT @AJDelgado13: Well, what do we have here.... Put your pitchforks down, Trump critics. https://t.co/7BpFnPQGfD",Alberta,Yes,390,0
F WORD USER ,RyanResign,GAB ID: https://t.co/XIo46PblSs,428,274,Mon Dec 12 02:53:20 +0000 2016,RT @TrumpNewMedia: 3 #Traitors @SenJohnMcCain @LindsayGrahamSC @marcorubio WARS cost #America $6 Trillion dollars! #Reuters #GOP #Trump #MA,,Yes,5,0
Guant Host,Tuna_Ghost,pro-level hill farmer,78,333,Mon Dec 12 02:53:20 +0000 2016,"RT @Steven_Strauss: Trump: Obama is a Kenyan Muslim
Fox: America needs to hear this 

CIA: Putin tried to rig election for Trump 
Fox: we c","Tokyo, Japan",Yes,10788,0
OleAle,Alehandro9390,Environmentally friendly thoughts.,40,1452,Mon Dec 12 02:53:20 +0000 2016,"RT @Magiq1: What time is it. @Magiq1 Abortion Foes, Emboldened by Trump, Promise Onslaught of Tough Restrictions https://t.co/JtORjbW2Ap",Norwalk,Yes,2,0
Jim Pegios,JPegios,,927,2133,Mon Dec 12 02:53:20 +0000 2016,"RT @LDrogen: Good luck to the coal miners who got conned by Trump 

Fully autonomous coal mine

 https://t.co/g7QXQH3jY5",,Yes,1,0
Patti,PattiPropst,America first..Trump support.. constitutionalist.. #wethepeople #unitedWeStand #makeAmericaGreatAgain,97,311,Mon Dec 12 02:53:20 +0000 2016,https://t.co/2QEOgmKmGn,Tennessee ,No,0,0
uhhlizabeth,ekingc,Working on the great American listicle. Cuture/ history/ politics writer. News for @Complex. Enrique enthusiast. | IG: mr.sweatpants,1048,950,Mon Dec 12 02:53:20 +0000 2016,"RT @mattdpearce: Behold, the next four years of our lives: https://t.co/fxANTMHByO https://t.co/oDbqsZLMOX","Buenos Aires, Argentina",Yes,813,0
Mia Shaw,MiaShaw,"Journalist, actress, model, policy analyst, vegan; media @CityInnovate. @USATODAY @CNN @Cal political econ alum. From the land of the fog. Tell me a story.",1930,1469,Mon Dec 12 02:53:20 +0000 2016,RT @oliverdarcy: Rubio chides Trump for boasting about likely sec of state pick's relationship with Putin https://t.co/XkPiqeBDro,San Francisco Bay Area,Yes,25,0
Frances Rauer,FrancesRauer,A nasty woman who will shame anyone with lack of moral integrity.,56,111,Mon Dec 12 02:53:20 +0000 2016,RT @HamiltonElector: RT The only thing that matters now is educating EVERYONE that Donald Trump is not President yet. He has not won. #Dec1,The UNITED States Of AMERICA,Yes,206,0
Sandra Williams,SandraW11075083,,57,120,Mon Dec 12 02:53:20 +0000 2016,RT @funder: #TRUMPLEAKS EXPOSED THIS! Carrier Got Taxpayer Handout Because Trump Owns Stock In Their Parent Company #cnn #msnbc https://t.c,"Tacoma, WA",Yes,1637,0
David Manyonga,DivaDollar,,285,126,Mon Dec 12 02:53:19 +0000 2016,"RT @HuffPostPol: Trump says ""nobody really knows"" if climate change is real (It is.) https://t.co/zstqb4f01i https://t.co/nQg5iMdLXx",,Yes,31,0
Yusuk Don Quays,svenosaurus,"Acerbic actuary, one-armed economist, gnu atheist, Jeopardy! champion, irreverent wit",27,180,Mon Dec 12 02:53:19 +0000 2016,"Emcee Trump: Audience thinks T Rex is too close to my friend Putin? OK, then the winner is John Bedlam! https://t.co/Dk0FosUPMY",USA,No,0,0
Kaye,kals55,,353,1046,Mon Dec 12 02:53:19 +0000 2016,"RT @NPR: As Trump Dismisses CIA, Congress Looks To Confront Russian Cyberattacks https://t.co/CLExlZVvHT",,Yes,450,0
Elisa Prez Gmez,ElisaPerezG1,"Para saber qu est pasando en nuestras naciones,la Masonera debe revelar POR LEY su lista de miembros y descubriremos al inters de quin sirven y obedecen.",283,369,Mon Dec 12 02:53:19 +0000 2016,@PressTV Trump can be 'its only one friend' or 'its imaginary friend'.,"Santiago, Chile",No,0,0
