User,Username,User Description,Followers Count,Friends Count,Time,Tweet,Location,Retweeted Tweet,Retweet Count,Fav Count
elizabethkap,elizabethkap,"Mom, Grandmom, Retired Human Resources, M.A. From NYC now in Florida, Liberal, Democrat.",400,179,Mon Dec 12 03:04:27 +0000 2016,"RT @VABVOX: 8) Hillary Clinton's popular vote lead (2,835,808) is now FIVE TIMES larger than Al Gore's was in 2000 (543,895): https://t.co/","St Petersburg, FL",Yes,143,0
MommaBear,Psalm11813,"I support  #Israel. Love husband, kids, being active. Pray for R Leaders. RT not endorsement.   #JESUS #DefundPP",5915,6522,Mon Dec 12 03:04:25 +0000 2016,RT @redsteeze: Russia wanted Trump. You know who else wanted Trump? Hillary &amp; our media. All three got what they wanted.,,Yes,193,0
Keelin Madden,KeelinMadden,"Eternally Blessed, Truth Driven, Believe Personal Integrity is Responsibility for All
#draintheswamp #MAGA",696,1077,Mon Dec 12 03:04:25 +0000 2016,"RT @ed_hooley: FLASHBACK VIDEO : Obama Busted on HOT MIC Making Secret Promises Russia https://t.co/thZymgbdUS
#maga #obama #hillary #imwit","Florida, USA",Yes,19,0
Dawn Allison,Anfoooey,#Trump/Pence. Patriot. Right leaning Libertarian. Daughter of LtCol Mom. Lover of FREEDOM. Followed by Hannity. Applied to be member of the 4k! Fingers crossed.,764,939,Mon Dec 12 03:04:25 +0000 2016,"RT @realjunsonchan: -@KellyannePolls completely rekts Rotten Hillary. Lol. This is how America should be governed, spend less, win more. Ni",A Socialist state,Yes,6,0
#JeSuisCharleston,LauraEmilyPDX,"I teach critical reading and persuasive writing, two essential skills for an informed and engaged electorate.  You are welcome, America.",419,1225,Mon Dec 12 03:04:25 +0000 2016,RT @ericgrant: The takeaway from all this Russian news: everyone should hire the person who set up Hillary's impenetrable email server.,Portlandia,Yes,258,0
Tim O'Donnell,last2brake,"When the going gets weird, the weird turn pro- HST",24,64,Mon Dec 12 03:04:24 +0000 2016,RT @StefanMolyneux: Cant wait for Dem investigation to figure out how Russian hackerz (TM) forced Hillary to take millions in Saudi money.,Granada Hills,Yes,1715,0
WarriorforChrist,tdortchlee,I'm a disciple of Jesus Christ. I seek Truth without Compromise!Prayer Warrior# I am a Christian. Maranatha,955,891,Mon Dec 12 03:04:24 +0000 2016,"RT @datrumpnation1: Look who is behind the Russian CIA story:
1. Washington Post
2. Obama
3. Schumer 
4. McCain &amp; Lindsay Graham
5. Hillary",USA,Yes,660,0
Deplorable Andrew,Andryushallc,"BA, BA, BS, RRT
Christian who votes, believes in freedom for all American citizens, and our Constitution.
Trump is the last chance. #Trump2020 @trump2020",2371,4936,Mon Dec 12 03:04:24 +0000 2016,RT @JerryT87: @LeahR77 @AppSame This is what Hillary and gang had planned for us. Bet on it.,"Oregon, USA",Yes,3,0
Jim W,WamplerJim,,367,155,Mon Dec 12 03:04:24 +0000 2016,@Evan_McMullin @realDonaldTrump a 1000 times more loyal than u and that skank Hillary .. ur 15 minutes are over,,No,0,0
GodandtheBear,GodandtheBear,"Just another human like you. Just to be clear if youre going to just rant about any of your gods Im not going to follow, Im an atheist goddamit! 
Fuck Uniteblue",10813,10219,Mon Dec 12 03:04:23 +0000 2016,What about we don't want Hillary don't you understand? Try all you want you can't make me feel shame for her loss e https://t.co/fAliinPLlJ,"Pennsylvania, USA",No,1,7
America 4 Trump,clark7950,I support Trump! He is what our Country needs. I want a wall. I want immigration reform. I want jobs. he will be true to his word and keep these 3 promises.,4562,3859,Mon Dec 12 03:04:23 +0000 2016,"RT @phil200269: People weren't concerned about Russia when Hillary was selling them US uranium.

#MAGA",,Yes,50,0
jwire,jwire,detective,106,243,Mon Dec 12 03:04:23 +0000 2016,"RT @bocavista2016: Hillary ILLEGALLY sold Russia uranium for NUKES

Yet Putin/@realDonaldTrump bromance is the Nat Sec threat?

https://t.c",,Yes,99,0
Gene Green,theonegenegreen,,1042,705,Mon Dec 12 03:04:23 +0000 2016,RT @AtlTeaPartyLove: Hillary Clinton is a danger to everyone rights when she unleash Syrian Rapefugees on our soil https://t.co/CvJBwbjacL,,Yes,4,0
Barry Gurney,writeinussenate,2014 Write In Candidate US Senate NC Unaffiliated. Do not let republican win Nov 4th and pick up the moderate's baton,672,564,Mon Dec 12 03:04:23 +0000 2016,@DailyCaller @bzazzie More than hillary and merkel??,North Carolina,No,0,0
Patriot Serf,1Gadsdenflag2,"Trouble no one about their religion; respect others in their view, and demand that they respect yours. The Fear of Death- Tecumseh

My Trigger is stupidity!",64,114,Mon Dec 12 03:04:22 +0000 2016,"RT @ed_hooley: British Diplomat ""I've Met The Wikileaks Informant and They're NOT Russian"" https://t.co/ocQMDX7il5 #ImWithHer #Hillary #maga",,Yes,8,0
